2024-04-26 05:07:10 - [22, 400] loss: 0.09232170671224595
2024-04-26 05:07:15 - [22, 500] loss: 0.06805844480637462
2024-04-26 05:07:20 - [22, 600] loss: 0.05949370739515871
2024-04-26 05:07:25 - [22, 700] loss: 0.06803169979481026
2024-04-26 05:07:56 - [23, 100] loss: 0.04401994695188478
2024-04-26 05:08:01 - [23, 200] loss: 0.0464017000887543
2024-04-26 05:08:05 - [23, 300] loss: 0.045683147528907286
2024-04-26 05:08:10 - [23, 400] loss: 0.03965657658642158
2024-04-26 05:08:15 - [23, 500] loss: 0.03890318700694479
2024-04-26 05:08:20 - [23, 600] loss: 0.06196417754050344
2024-04-26 05:08:25 - [23, 700] loss: 0.04632981722708791
2024-04-26 05:08:56 - [24, 100] loss: 0.044305861403699964
2024-04-26 05:09:00 - [24, 200] loss: 0.048898315916303545
2024-04-26 05:09:05 - [24, 300] loss: 0.053199875177815555
2024-04-26 05:09:10 - [24, 400] loss: 0.06225713057443499
2024-04-26 05:09:15 - [24, 500] loss: 0.06017294381512329
2024-04-26 05:09:20 - [24, 600] loss: 0.048773504083510485
2024-04-26 05:09:25 - [24, 700] loss: 0.06038399006705731
2024-04-26 05:09:55 - [25, 100] loss: 0.05618484124075621
2024-04-26 05:10:00 - [25, 200] loss: 0.03704099375521764
2024-04-26 05:10:05 - [25, 300] loss: 0.0362305548414588
2024-04-26 05:10:10 - [25, 400] loss: 0.034298256506444885
2024-04-26 05:10:15 - [25, 500] loss: 0.06178432451095432
2024-04-26 05:10:20 - [25, 600] loss: 0.0690922235418111
2024-04-26 05:10:25 - [25, 700] loss: 0.12590754420496522
2024-04-26 05:10:55 - [26, 100] loss: 0.049477442720672116
2024-04-26 05:11:00 - [26, 200] loss: 0.04719123051734641
2024-04-26 05:11:05 - [26, 300] loss: 0.044240629808045925
2024-04-26 05:11:10 - [26, 400] loss: 0.03539614342618733
2024-04-26 05:11:15 - [26, 500] loss: 0.047016472320538016
2024-04-26 05:11:20 - [26, 600] loss: 0.042516718744300304
2024-04-26 05:11:25 - [26, 700] loss: 0.03791351383319125
2024-04-26 05:11:55 - [27, 100] loss: 0.03354727141093463
2024-04-26 05:12:00 - [27, 200] loss: 0.03246733785839751
2024-04-26 05:12:05 - [27, 300] loss: 0.10888530746218748
2024-04-26 05:12:10 - [27, 400] loss: 0.11760479194112122
2024-04-26 05:12:15 - [27, 500] loss: 0.04487650911789388
2024-04-26 05:12:20 - [27, 600] loss: 0.05596484106732533
2024-04-26 05:12:25 - [27, 700] loss: 0.046466663877945395
2024-04-26 05:12:55 - [28, 100] loss: 0.03678370336652734
2024-04-26 05:13:00 - [28, 200] loss: 0.027862439112213908
2024-04-26 05:13:05 - [28, 300] loss: 0.025401539729791693
2024-04-26 05:13:10 - [28, 400] loss: 0.028305300447391345
2024-04-26 05:13:15 - [28, 500] loss: 0.030683741768589245
2024-04-26 05:13:20 - [28, 600] loss: 0.04060371512779966
2024-04-26 05:13:25 - [28, 700] loss: 0.03340978916734457
2024-04-26 05:13:55 - [29, 100] loss: 0.03648889380157925
2024-04-26 05:14:00 - [29, 200] loss: 0.03354328686953522
2024-04-26 05:14:05 - [29, 300] loss: 0.02506530909711728
2024-04-26 05:14:10 - [29, 400] loss: 0.03828452763089445
2024-04-26 05:14:15 - [29, 500] loss: 0.03792510752566159
2024-04-26 05:14:19 - [29, 600] loss: 0.04493311825906858
