2024-04-26 14:16:25 - [24, 700] loss: 0.3197939544916153
2024-04-26 14:16:49 - [25, 100] loss: 0.2291322287172079
2024-04-26 14:16:50 - [25, 200] loss: 0.23434496209025382
2024-04-26 14:16:51 - [25, 300] loss: 0.2703586213290691
2024-04-26 14:16:52 - [25, 400] loss: 0.2714961639046669
2024-04-26 14:16:54 - [25, 500] loss: 0.293873400837183
2024-04-26 14:16:55 - [25, 600] loss: 0.28582111455500125
2024-04-26 14:16:56 - [25, 700] loss: 0.295635532438755
2024-04-26 14:17:20 - [26, 100] loss: 0.23705112367868422
2024-04-26 14:17:21 - [26, 200] loss: 0.22412298753857612
2024-04-26 14:17:23 - [26, 300] loss: 0.24163007229566574
2024-04-26 14:17:24 - [26, 400] loss: 0.26967520266771317
2024-04-26 14:17:25 - [26, 500] loss: 0.2694344884157181
2024-04-26 14:17:26 - [26, 600] loss: 0.2646183793246746
2024-04-26 14:17:28 - [26, 700] loss: 0.307800103276968
2024-04-26 14:17:52 - [27, 100] loss: 0.20203487761318684
2024-04-26 14:17:53 - [27, 200] loss: 0.2270711714029312
2024-04-26 14:17:55 - [27, 300] loss: 0.24506897963583468
2024-04-26 14:17:56 - [27, 400] loss: 0.2399991185963154
2024-04-26 14:17:57 - [27, 500] loss: 0.24469830594956876
2024-04-26 14:17:58 - [27, 600] loss: 0.2604443956911564
2024-04-26 14:18:00 - [27, 700] loss: 0.28179712265729906
2024-04-26 14:18:24 - [28, 100] loss: 0.17746820852160453
2024-04-26 14:18:25 - [28, 200] loss: 0.1986892057582736
2024-04-26 14:18:26 - [28, 300] loss: 0.2141368290036917
2024-04-26 14:18:28 - [28, 400] loss: 0.2285127356648445
2024-04-26 14:18:29 - [28, 500] loss: 0.24737146645784377
2024-04-26 14:18:30 - [28, 600] loss: 0.23722598150372506
2024-04-26 14:18:31 - [28, 700] loss: 0.2617159494757652
2024-04-26 14:18:55 - [29, 100] loss: 0.17542669981718062
2024-04-26 14:18:56 - [29, 200] loss: 0.19098229583352805
2024-04-26 14:18:58 - [29, 300] loss: 0.19711789362132548
2024-04-26 14:18:59 - [29, 400] loss: 0.23070092141628265
2024-04-26 14:19:00 - [29, 500] loss: 0.22048280701041223
2024-04-26 14:19:01 - [29, 600] loss: 0.2442726581543684
2024-04-26 14:19:03 - [29, 700] loss: 0.26055862829089166
2024-04-26 14:19:27 - [30, 100] loss: 0.17749409951269626
2024-04-26 14:19:28 - [30, 200] loss: 0.1950992077589035
2024-04-26 14:19:29 - [30, 300] loss: 0.20396709606051444
2024-04-26 14:19:30 - [30, 400] loss: 0.2114147214591503
2024-04-26 14:19:32 - [30, 500] loss: 0.2156916258484125
2024-04-26 14:19:33 - [30, 600] loss: 0.2363542741537094
2024-04-26 14:19:34 - [30, 700] loss: 0.23800441138446332
2024-04-26 14:19:58 - [31, 100] loss: 0.18931922499090434
2024-04-26 14:19:59 - [31, 200] loss: 0.18620168708264828
2024-04-26 14:20:01 - [31, 300] loss: 0.19020143497735262
2024-04-26 14:20:02 - [31, 400] loss: 0.19863821156322956
2024-04-26 14:20:03 - [31, 500] loss: 0.205773830935359
2024-04-26 14:20:04 - [31, 600] loss: 0.21292305685579777
2024-04-26 14:20:06 - [31, 700] loss: 0.2225549506396055
2024-04-26 14:20:30 - [32, 100] loss: 0.13965701222419738
2024-04-26 14:20:31 - [32, 200] loss: 0.15744049493223428
2024-04-26 14:20:32 - [32, 300] loss: 0.18739524621516465
2024-04-26 14:20:33 - [32, 400] loss: 0.21845858439803123
2024-04-26 14:20:35 - [32, 500] loss: 0.1940109759196639
2024-04-26 14:20:36 - [32, 600] loss: 0.22462831877171993
2024-04-26 14:20:37 - [32, 700] loss: 0.22278998538851738
2024-04-26 14:21:01 - [33, 100] loss: 0.16765348322689533
2024-04-26 14:21:02 - [33, 200] loss: 0.15624691057950257
2024-04-26 14:21:04 - [33, 300] loss: 0.1623410141095519
2024-04-26 14:21:05 - [33, 400] loss: 0.17764006949961186
2024-04-26 14:21:06 - [33, 500] loss: 0.20218301430344582
2024-04-26 14:21:07 - [33, 600] loss: 0.20919051595032215
2024-04-26 14:21:09 - [33, 700] loss: 0.22083717539906503
2024-04-26 14:21:33 - [34, 100] loss: 0.1449274992197752
2024-04-26 14:21:34 - [34, 200] loss: 0.13859176490455866
2024-04-26 14:21:35 - [34, 300] loss: 0.19203588530421256
2024-04-26 14:21:37 - [34, 400] loss: 0.20197121769189835
2024-04-26 14:21:38 - [34, 500] loss: 0.19068622626364232
2024-04-26 14:21:39 - [34, 600] loss: 0.19221286091953516
2024-04-26 14:21:40 - [34, 700] loss: 0.20143400199711323
2024-04-26 14:22:04 - [35, 100] loss: 0.13658050762489438
2024-04-26 14:22:05 - [35, 200] loss: 0.14042505618184806
2024-04-26 14:22:07 - [35, 300] loss: 0.16331781689077615
2024-04-26 14:22:08 - [35, 400] loss: 0.17110670153051616
2024-04-26 14:22:09 - [35, 500] loss: 0.1958376756310463
2024-04-26 14:22:10 - [35, 600] loss: 0.19209454216063024
2024-04-26 14:22:12 - [35, 700] loss: 0.2042942150309682
2024-04-26 14:22:36 - [36, 100] loss: 0.14804864697158338
2024-04-26 14:22:37 - [36, 200] loss: 0.14244222218170763
2024-04-26 14:22:38 - [36, 300] loss: 0.16126679290086032
2024-04-26 14:22:39 - [36, 400] loss: 0.15872171446681022
2024-04-26 14:22:41 - [36, 500] loss: 0.17846616733819246
2024-04-26 14:22:42 - [36, 600] loss: 0.1908384518325329
2024-04-26 14:22:43 - [36, 700] loss: 0.2195177436619997
2024-04-26 14:23:08 - [37, 100] loss: 0.1335714846290648
2024-04-26 14:23:09 - [37, 200] loss: 0.13316179931163788
2024-04-26 14:23:10 - [37, 300] loss: 0.15899582084268332
2024-04-26 14:23:12 - [37, 400] loss: 0.18640885706990956
2024-04-26 14:23:13 - [37, 500] loss: 0.16265094619244336
2024-04-26 14:23:14 - [37, 600] loss: 0.16436542570590973
2024-04-26 14:23:15 - [37, 700] loss: 0.15504301473498344
2024-04-26 14:23:39 - [38, 100] loss: 0.1217487995326519
2024-04-26 14:23:41 - [38, 200] loss: 0.12816547548398374
2024-04-26 14:23:42 - [38, 300] loss: 0.1462225418165326
2024-04-26 14:23:43 - [38, 400] loss: 0.15396759446710348
2024-04-26 14:23:45 - [38, 500] loss: 0.15582935130223632
2024-04-26 14:23:46 - [38, 600] loss: 0.17246521754190325
2024-04-26 14:23:47 - [38, 700] loss: 0.17491680216044186
2024-04-26 14:24:11 - [39, 100] loss: 0.15909496009349822
2024-04-26 14:24:12 - [39, 200] loss: 0.11509411655366421
2024-04-26 14:24:14 - [39, 300] loss: 0.1326978140696883
2024-04-26 14:24:15 - [39, 400] loss: 0.14172977779060603
2024-04-26 14:24:16 - [39, 500] loss: 0.16608630808070302
2024-04-26 14:24:17 - [39, 600] loss: 0.1715230253338814
2024-04-26 14:24:19 - [39, 700] loss: 0.17398480620235204
2024-04-26 14:24:43 - [40, 100] loss: 0.12262342799454927
2024-04-26 14:24:44 - [40, 200] loss: 0.12261027816683054
2024-04-26 14:24:45 - [40, 300] loss: 0.1283825802616775
2024-04-26 14:24:46 - [40, 400] loss: 0.15635190751403572
2024-04-26 14:24:48 - [40, 500] loss: 0.15486004512757062
2024-04-26 14:24:49 - [40, 600] loss: 0.16497224543243647
2024-04-26 14:24:50 - [40, 700] loss: 0.15196356028318406
2024-04-26 14:25:14 - [41, 100] loss: 0.13508074795827268
